CODE;NAME;CATEGORY
100;Fokker 100;M
141;BAe 146-100 Pax;M
142;BAe 146-200 Pax;M
143;BAe 146-300 Pax;M
146;BAe 146 all pax models;M
14F;BAe 146 Freighter (-100/200/300QT & QC);M
14X;BAe 146 Freighter (-100QT & QC);M
14Y;BAe 146 Freighter (-200QT & QC);M
14Z;BAe 146 Freighter (-200QT & QC);M
310;Airbus A310 all pax models;H
312;Airbus A310-200 pax;H
313;Airbus A310-300 pax;H
318;Airbus A318;M
319;Airbus A319;M
31F;Airbus A310 Freighter;M
31X;Airbus A310-200 Freighter;M
31Y;Airbus A310-300 Freighter;M
320;Airbus A320-100/200;M
321;Airbus A321-100/200;M
32S;Airbus A318/319/320/321;M
330;Airbus A330 all models;H
332;Airbus A330-200;H
333;Airbus A330-300;H
340;Airbus A340 all models;H
342;Airbus A340-200;H
343;Airbus A340-300;H
345;Airbus A340-500;H
346;Airbus A340-600;H
380;Airbus A380 pax;H
38F;Airbus A380 Freighter;H
703;Boeing 707-300 pax;H
707;Boeing 707/720 all pax models;H
70F;Boeing 707 Freighter;H
70M;Boeing 707 Combi;H
717;Boeing 717;M
721;Boeing 727-100 pax;M
722;Boeing 727-200 pax;M
727;Boeing 727 all pax models;M
72B;Boeing 727-100 Mixed Configuration;M
72C;Boeing 727-200 Mixed Configuration;M
72F;Boeing 727 Freighter (-100/200);M
72M;Boeing 727 Combi;M
72S;Boeing 727-200 Advanced pax;M
72X;Boeing 727-100 Freighter;M
72Y;Boeing 727-200 Freighter;M
731;Boeing 737-100 pax;M
732;Boeing 737-200 pax;M
733;Boeing 737-300 pax;M
734;Boeing 737-400 pax;M
735;Boeing 737-500 pax;M
736;Boeing 737-600 pax;M
737;Boeing 737 all pax models;M
738;Boeing 737-800 pax;M
739;Boeing 737-900 pax;M
73F;Boeing 737 all Freighter models;M
73G;Boeing 737-700 pax;M
73H;Boeing 737-800 (winglets) pax;M
73M;Boeing 737-200 Combi;M
73W;Boeing 737-700 (winglets) pax;M
73X;Boeing 737-200 Freighter;M
73Y;Boeing 737-300 Freighter;M
741;Boeing 747-100 pax;H
742;Boeing 747-200 pax;H
743;Boeing 747-300 pax;H
744;Boeing 747-400 pax;H
747;Boeing 747 all pax models;H
74C;Boeing 747-200 Combi;H
74D;Boeing 747-300 Combi;H
74E;Boeing 747-400 Combi;H
74F;Boeing 747 all Freighter models;H
74J;Boeing 747-400 (Domestic) pax;H
74L;Boeing 747SP;H
74M;Boeing 747 all Combi models;H
74R;Boeing 747SR pax;H
74T;Boeing 747-100 Freighter;H
74U;Boeing 747-300 / 747-200 SUD Freighter;H
74V;Boeing 747SR Freighter;H
74X;Boeing 747-200 Freighter;H
74Y;Boeing 747-400 Freighter;H
752;Boeing 757-200 pax;H
753;Boeing 757-300 pax;H
757;Boeing 757 all pax models;H
75F;Boeing 757 Freighter;H
75M;Boeing 757 Mixed Configuration;H
762;Boeing 767-200 pax;H
763;Boeing 767-300 pax;H
764;Boeing 767-400 pax;H
767;Boeing 767 all pax models;H
76F;Boeing 767 all Freighter models;H
76X;Boeing 767-200 Freighter;H
76Y;Boeing 767-300 Freighter;H
772;Boeing 777-200 pax;H
773;Boeing 777-300 pax;H
777;Boeing 777 all pax models;H
A26;Antonov AN-26;L
A28;Antonov AN-28 / PZL Miele M-28 Skytruck;L
A30;Antonov AN-30;L
A32;Antonov AN-32;L
A40;Antonov AN-140;M
A4F;Antonov AN-124 Ruslan;H
AB3;Airbus Industrie A300 pax;H
AB4;Airbus Industrie A300B2/B4/C4 pax;H
AB6;Airbus Industrie A300-600 pax;H
ABB;Airbus Industrie A300-600ST Beluga Freighter;H
ABF;Airbus Industrie A300 Freighter;H
ABX;Airbus Industrie A300C4/F4 Freighter;H
ABY;Airbus Industrie A600-600 Freighter;H
