CODE;NAME;COUNTRY
-;Private flight;
1T;1Time Airline;South Africa
Q5;40-Mile Air;United States
AN;Ansett Australia;Australia
1B;Abacus International;Singapore
W9;Eastwind Airlines;United States
ZI;Aigle Azur;France
AQ;Aloha Airlines;United States
AA;American Airlines;United States
OZ;Ozark Air Lines;United States
4K;Askari Aviation;Pakistan
8U;Afriqiyah Airways;Libya
Q9;Arik Niger;Niger
G4;Allegiant Air;United States
K5;SeaPort Airlines;United States
M3;North Flying;Denmark
04;Antrak Air;Ghana
GB;BRAZIL AIR;Brazil
8V;Wright Air Service;United States
E4;Elysian Airlines;Cameroon
YT;Yeti Airways;Nepal
4G;Gazpromavia;Russia
7A;Aztec Worldwide Airlines;United States
8T;Air Tindi;Canadian Territories
ZY;Ada Air;Albania
Z7;REDjet;Barbados
JP;Adria Airways;Slovenia
UX;Air Europa;Spain
EM;Empire Airlines;United States
A3;Aegean Airlines;Greece
KI;Adam Air;Indonesia
PE;Air Europe;Italy
KO;Alaska Central Express;United States
5W;Astraeus;United Kingdom
VV;Aerosvit Airlines;Ukraine
I9;Indigo;United States
WK;Edelweiss Air;Switzerland
QQ;Reno Air;United States
FG;Ariana Afghan Airlines;Afghanistan
SU;Aeroflot Russian Airlines;Russia
JA;B&H Airlines;Bosnia and Herzegovina
AF;Air France;France
SB;Air Caledonie International;France
GN;GNB Linhas Aereas;Brazil
2O;Air Salone;Sierra Leone
2Q;Air Cargo Carriers;United States
V7;VOLOTEA Airways;Spain
SW;Air Namibia;Namibia
G8;Gujarat Airways;India
5D;DonbassAero;Ukraine
1A;Amadeus Global Travel Distribution;Spain
7T;Tobruk Air;Libya
PL;Airstars;Russia
8A;Atlas Blue;Morocco
GD;GoDutch;Netherlands
LD;Linea Turistica Aerotuy;Venezuela
HT;Hellenic Imperial Airways;Greece
J2;Azerbaijan Airlines;Azerbaijan
U3;Avies;Estonia
AP;Air One;Italy
5A;Alpine Air Express;United States
ED;Airblue;Pakistan
AB;Air Berlin;Germany
AG;All America US;United States
AI;Air India Limited;India
ZB;Monarch Airlines;United Kingdom
CC;Macair Airlines;Australia
RB;Syrian Arab Airlines;Syrian Arab Republic
TN;Air Tahiti Nui;France
W4;AeroWorld ;Russia
IZ;Arkia Israel Airlines;Israel
JM;Air Jamaica;Jamaica
S2;Air Sahara;India
KM;Air Malta;Malta
M6;Amerijet International;United States
NQ;Air Japan;Japan
4A;Air Kiribati;Kiribati
EH;Euro Harmony;Portugal
HP;Phoenix Airways;Switzerland
ZW;Air Wisconsin;United States
U9;Tatarstan Airlines;Russia
VD;SwedJet Airways;Sweden
TT;Tiger Airways Australia;Australia
QM;Air Malawi;Malawi
BM;Bayu Indonesia Air;Indonesia
NX;Air Macau;Macao
ZV;V Air;Taiwan
HM;Air Seychelles;Seychelles
AM;AeroMéxico;Mexico
NH;All Nippon Airways;Japan
YW;Air Nostrum;Spain
PX;Air Niugini;Papua New Guinea
G9;Air Arabia;United Arab Emirates
AC;Air Canada;Canada
BT;Air Baltic;Latvia
EL;Air Nippon;Japan
TL;Trans Mediterranean Airlines;Lebanon
4N;Air North Charter - Canada;Canada
IW;Wings Air;Indonesia
NZ;Air New Zealand;New Zealand
J6;AVCOM;Russia
2D;Aero VIP (2D);Portugal
6V;Via Conectia Airlines;Uruguay
XM;Alitalia Express;Italy
OE;WestAir Airlines ;United States
GV;Aero Flight;Germany
JW;Arrow Air;United States
W3;World Scale Airlines;United States
2B;Aerocondor;Portugal
4C;Aires; S.A.
AR;Aerolineas Argentinas;Argentina
QN;Royal;Canada
AS;Alaska Airlines;ALASKA
4D;Air Sinai;Egypt
EV;Atlantic Southeast Airlines;United States
OB;Astrakhan Airlines;Russia
TC;Air Tanzania;Tanzania
2J;Air Burkina;Burkina Faso
HC;Himalayan Airlines;Nepal
FO;Airlines Of Tasmania;Australia
PJ;Air Saint Pierre;France
8C;Shanxi Airlines;China
OS;Austrian Airlines;Austria
IQ;Augsburg Airways;Germany
RU;Rainbow Air Euro;United Kingdom
MO;Calm Air;Canada
5N;Aeroflot-Nord;Russia
GR;Gemini Air Cargo;United States
NO;North Pacific Airlines;United States
AU;Austral Lineas Aereas;Argentina
AO;Avianova (Russia);Russia
AV;Avianca - Aerovias Nacionales de Colombia;AVIANCA
NF;Air Vanuatu;Vanuatu
K8;Zambia Skyways;Zambia
B9;Air Bangladesh;Bangladesh
DR;Air Mediterranee;France
7E;Aeroline GmbH;Germany
6G;Air Wales;United Kingdom
TX;Air Caraïbes;France
IX;Air India Express;India
